id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,folder
4277336,V Guard Energy #215,Pokemon Silver Tempest,376,Ungraded,Normal wear,,,0,1,2025-02-26,
3508399,Falinks #TG07,Pokemon Astral Radiance,219,Ungraded,Normal wear,,,0,1,2025-02-26,
7108731,Okidogi #74,Pokemon Shrouded Fable,999,Ungraded,Normal wear,,,0,1,2025-02-26,
1341574,Galarian Darmanitan #SV024,Pokemon Shining Fates,336,Ungraded,Normal wear,,,0,1,2025-02-26,
8321660,Shaymin [Poke Ball] #87,Pokemon Prismatic Evolutions,193,Ungraded,Normal wear,,,0,1,2025-02-26,
1341564,Appletun #SV014,Pokemon Shining Fates,323,Ungraded,Normal wear,,,0,1,2025-02-26,
4080777,Cook #TG25,Pokemon Lost Origin,334,Ungraded,Normal wear,,,0,1,2025-02-26,
5953044,Morpeko #206,Pokemon Paradox Rift,2012,Ungraded,Normal wear,,,0,1,2025-02-26,
6277128,Tandemaus #209,Pokemon Paldean Fates,499,Ungraded,Normal wear,,,0,1,2025-02-26,
6277159,Wo-Chien ex #240,Pokemon Paldean Fates,770,Ungraded,Normal wear,,,0,1,2025-02-26,
8244618,Lacey #175,Pokemon Prismatic Evolutions,5131,Ungraded,Normal wear,,,0,1,2025-02-26,
5605748,Fire Energy #230,Pokemon Obsidian Flames,442,Ungraded,Normal wear,,,0,1,2025-02-26,
887720,Leon #182,Pokemon Vivid Voltage,704,Ungraded,Normal wear,,,0,1,2025-02-26,
2172547,Zacian V #195,Pokemon Sword & Shield,450,Ungraded,Normal wear,,,0,1,2025-02-26,
807148,Indeedee V #91,Pokemon Sword & Shield,179,Ungraded,Normal wear,,,0,1,2025-02-26,
3489675,Hisuian Samurott V #176,Pokemon Astral Radiance,353,Ungraded,Normal wear,,,0,1,2025-02-26,
886917,Oleana #191,Pokemon Rebel Clash,955,Ungraded,Normal wear,,,0,1,2025-02-26,
887501,Drednaw VMAX #75,Pokemon Champion's Path,593,Ungraded,Normal wear,,,0,1,2025-02-26,
2513034,Zinnia's Resolve #225,Pokemon Evolving Skies,599,Ungraded,Normal wear,,,0,1,2025-02-26,
8321504,Cottonee [Master Ball] #7,Pokemon Prismatic Evolutions,550,Ungraded,Normal wear,,,0,1,2025-02-26,
